360,39.8282032038
361,39.8557597905
362,39.8239632023
363,39.8356717676
364,39.6274593139
365,39.3758242182
366,39.0835411869
367,38.8316791086
368,38.5591592527
369,38.2737181487
370,37.9881782249
371,37.6495363159
372,37.3785544403
373,37.0531858718
374,36.748232534
375,36.4587069335
376,36.1934038059
377,35.8984528646
378,35.6508483291
379,35.3295057989
380,35.0900747399
381,34.829476121
382,34.6078597092
383,34.3537082608
384,34.1032527332
385,33.856675657
386,33.6769200665
387,33.38762004
388,33.2393090682
389,32.9785377248
390,32.7827712606
391,32.6224154295
392,32.4304869644
393,32.2467347194
394,32.0601133124
395,31.9033156418
396,31.7226357237
397,31.5272754038
398,31.3970343614
399,31.2270429648
400,31.1295443886
401,30.9457696159
402,30.8425313658
403,30.6936104175
404,30.524564112
405,30.3920469158
406,30.2802608219
407,30.1607004749
408,30.0006127838
409,29.8976890021
410,29.7952837453
411,29.6791839714
412,29.5800545487
413,29.4583242358
414,29.3479821687
415,29.2178920451
416,29.1290137377
417,29.0171164798
418,28.9084147636
419,28.8659941503
