600,39.4442868331
601,39.4652402042
602,39.47801431
603,39.4600362271
604,38.9944562364
605,38.4557645181
606,37.814240013
607,37.0991241593
608,36.3672201449
609,35.6170800247
610,34.8662736359
611,34.1329229793
612,33.4217570208
613,32.7501632014
614,32.0454293802
615,31.4030359206
616,30.8254259564
617,30.2900075103
618,29.7623038392
619,29.2309535454
620,28.7144117669
621,28.2749668134
622,27.8130347927
623,27.4257446684
624,26.9822010075
625,26.6348615211
626,26.2703117318
627,25.9359223364
628,25.5962225972
629,25.3019071679
630,25.0384687423
631,24.7478459383
632,24.530994808
633,24.2172053739
634,24.0571179423
635,23.8126834885
636,23.5932511741
637,23.404692335
638,23.1728093301
639,23.0041465619
640,22.7918668231
641,22.6429740394
642,22.4728665529
643,22.2776175342
644,22.1485812473
645,21.9631265499
646,21.7997056555
647,21.6604679941
648,21.5699570258
649,21.4230172871
650,21.2449712254
651,21.1185618829
652,21.0366616677
653,20.9042590398
654,20.7760243484
655,20.683287819
656,20.5848725614
657,20.496324964
658,20.3662737796
659,20.308222205
