file,mode,samples
MVI_7956.MOV,const,1
MVI_7959.MOV,const,2
MVI_7960.MOV,const,3
MVI_7961.MOV,const,4
MVI_7962.MOV,const,5
MVI_7963.MOV,const,6
MVI_7964.MOV,const,7
MVI_7965.MOV,const,8
