June 20, 2016   17:21:11
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\1000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.127V
ip = 6.858e-6A
Ah = 6.810e-5C

Segment 4:

Segment 5:
Ep = 0.127V
ip = 4.556e-6A
Ah = 4.718e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.014V
ip = -3.683e-11A
Ah = -1.393e-10C

Segment 3:
Segment 4:
Ep = -0.039V
ip = -2.221e-11A
Ah = -4.340e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.143	3.677e-5	-7.598e-9
0.144	3.678e-5	-7.598e-9
0.145	3.687e-5	-7.599e-9
0.146	3.693e-5	-7.598e-9
0.147	3.697e-5	-7.605e-9
0.148	3.705e-5	-7.602e-9
0.149	3.707e-5	-7.596e-9
0.150	3.713e-5	-7.607e-9
0.151	3.721e-5	-7.595e-9
0.152	3.724e-5	-7.601e-9
0.153	3.735e-5	-7.602e-9
0.154	3.741e-5	-7.605e-9
0.155	3.746e-5	-7.601e-9
0.156	3.754e-5	-7.618e-9
0.157	3.756e-5	-7.605e-9
0.158	3.764e-5	-7.602e-9
0.159	3.773e-5	-7.593e-9
0.160	3.777e-5	-7.601e-9
0.161	3.787e-5	-7.607e-9
0.162	3.794e-5	-7.605e-9
0.163	3.799e-5	-7.608e-9
0.164	3.810e-5	-7.602e-9
0.165	3.814e-5	-7.595e-9
0.166	3.823e-5	-7.604e-9
0.167	3.832e-5	-7.598e-9
0.168	3.837e-5	-7.606e-9
0.169	3.847e-5	-7.602e-9
0.170	3.852e-5	-7.611e-9
0.171	3.857e-5	-7.607e-9
0.172	3.866e-5	-7.603e-9
0.173	3.869e-5	-7.611e-9
0.174	3.876e-5	-7.606e-9
0.175	3.884e-5	-7.604e-9
0.176	3.885e-5	-7.613e-9
0.177	3.896e-5	-7.613e-9
0.178	3.903e-5	-7.610e-9
0.179	3.907e-5	-7.615e-9
0.180	3.916e-5	-7.620e-9
0.181	3.923e-5	-7.616e-9
0.182	3.931e-5	-7.610e-9
0.183	3.940e-5	-7.614e-9
0.184	3.944e-5	-7.618e-9
0.185	3.954e-5	-7.615e-9
0.186	3.960e-5	-7.623e-9
0.187	3.969e-5	-7.613e-9
0.188	3.981e-5	-7.623e-9
0.189	3.984e-5	-7.611e-9
0.190	3.994e-5	-7.618e-9
0.191	4.005e-5	-7.623e-9
0.192	4.010e-5	-7.614e-9
0.193	4.024e-5	-7.609e-9
0.194	4.032e-5	-7.609e-9
0.195	4.041e-5	-7.600e-9
0.196	4.053e-5	-7.609e-9
0.197	4.057e-5	-7.607e-9
0.198	4.068e-5	-7.611e-9
0.199	4.080e-5	-7.608e-9
0.200	4.086e-5	-7.608e-9
0.201	4.099e-5	-7.603e-9
0.202	4.107e-5	-7.603e-9
0.203	4.114e-5	-7.605e-9
0.204	4.126e-5	-7.601e-9
0.205	4.140e-5	-7.611e-9
0.206	4.147e-5	-7.609e-9
0.207	4.156e-5	-7.601e-9
0.208	4.158e-5	-7.602e-9
0.209	4.168e-5	-7.607e-9
0.210	4.176e-5	-7.601e-9
0.211	4.182e-5	-7.607e-9
0.212	4.193e-5	-7.609e-9
0.213	4.198e-5	-7.606e-9
0.214	4.207e-5	-7.605e-9
0.215	4.216e-5	-7.615e-9
0.216	4.221e-5	-7.609e-9
0.217	4.230e-5	-7.620e-9
0.218	4.237e-5	-7.613e-9
0.219	4.242e-5	-7.615e-9
0.220	4.253e-5	-7.612e-9
0.221	4.255e-5	-7.615e-9
0.222	4.263e-5	-7.609e-9
0.223	4.272e-5	-7.610e-9
0.224	4.272e-5	-7.623e-9
0.225	4.282e-5	-7.613e-9
0.226	4.288e-5	-7.612e-9
0.227	4.291e-5	-7.618e-9
0.228	4.301e-5	-7.618e-9
0.229	4.301e-5	-7.619e-9
0.230	4.305e-5	-7.615e-9
0.231	4.310e-5	-7.624e-9
0.232	4.311e-5	-7.618e-9
0.233	4.318e-5	-7.616e-9
0.234	4.322e-5	-7.614e-9
0.235	4.325e-5	-7.615e-9
0.236	4.331e-5	-7.618e-9
0.237	4.330e-5	-7.612e-9
0.238	4.334e-5	-7.615e-9
0.239	4.340e-5	-7.615e-9
0.240	4.339e-5	-7.630e-9
0.241	4.345e-5	-7.620e-9
0.242	4.347e-5	-7.622e-9
0.243	4.348e-5	-7.623e-9
0.244	4.354e-5	-7.619e-9
0.245	4.354e-5	-7.618e-9
0.246	4.358e-5	-7.619e-9
0.247	4.361e-5	-7.618e-9
0.248	4.359e-5	-7.620e-9
0.249	4.364e-5	-7.629e-9
0.250	4.366e-5	-7.622e-9
0.251	4.369e-5	-7.627e-9
0.252	4.375e-5	-7.627e-9
0.253	4.371e-5	-7.625e-9
0.254	4.374e-5	-7.624e-9
0.255	4.376e-5	-7.625e-9
0.256	4.374e-5	-7.620e-9
0.257	4.375e-5	-7.629e-9
0.258	4.372e-5	-7.615e-9
0.259	4.371e-5	-7.624e-9
0.260	4.374e-5	-7.624e-9
0.261	4.369e-5	-7.620e-9
0.262	4.371e-5	-7.625e-9
0.263	4.373e-5	-7.625e-9
0.264	4.369e-5	-7.629e-9
0.265	4.372e-5	-7.629e-9
0.266	4.371e-5	-7.625e-9
0.267	4.370e-5	-7.625e-9
0.268	4.373e-5	-7.617e-9
0.269	4.369e-5	-7.635e-9
0.270	4.370e-5	-7.634e-9
0.271	4.373e-5	-7.625e-9
0.272	4.369e-5	-7.625e-9
0.273	4.373e-5	-7.630e-9
0.274	4.373e-5	-7.630e-9
0.275	4.372e-5	-7.617e-9
0.276	4.374e-5	-7.623e-9
0.277	4.369e-5	-7.626e-9
0.278	4.369e-5	-7.622e-9
0.279	4.372e-5	-7.637e-9
0.280	4.366e-5	-7.632e-9
0.281	4.370e-5	-7.633e-9
0.282	4.366e-5	-7.630e-9
0.283	4.365e-5	-7.626e-9
0.284	4.367e-5	-7.629e-9
0.285	4.361e-5	-7.634e-9
0.286	4.364e-5	-7.631e-9
0.287	4.365e-5	-7.634e-9
0.288	4.360e-5	-7.640e-9
0.289	4.362e-5	-7.642e-9
0.290	4.362e-5	-7.634e-9
0.291	4.360e-5	-7.643e-9
0.292	4.362e-5	-7.636e-9
0.293	4.357e-5	-7.634e-9
0.294	4.359e-5	-7.637e-9
0.295	4.360e-5	-7.639e-9
0.296	4.357e-5	-7.632e-9
0.297	4.361e-5	-7.640e-9
0.298	4.359e-5	-7.632e-9
0.299	4.359e-5	-7.639e-9
0.300	4.364e-5	-7.632e-9
0.301	4.358e-5	-7.625e-9
0.302	4.360e-5	-7.636e-9
0.303	4.362e-5	-7.635e-9
0.304	4.358e-5	-7.631e-9
0.305	4.362e-5	-7.625e-9
0.306	4.361e-5	-7.644e-9
0.307	4.364e-5	-7.641e-9
0.308	4.368e-5	-7.636e-9
0.309	4.365e-5	-7.628e-9
0.310	4.365e-5	-7.633e-9
0.311	4.367e-5	-7.639e-9
0.312	4.363e-5	-7.638e-9
0.313	4.366e-5	-7.643e-9
0.314	4.366e-5	-7.634e-9
0.315	4.366e-5	-7.630e-9
0.316	4.370e-5	-7.632e-9
0.317	4.364e-5	-7.627e-9
0.318	4.366e-5	-7.632e-9
0.319	4.368e-5	-7.635e-9
0.320	4.363e-5	-7.634e-9
0.321	4.367e-5	-7.623e-9
0.322	4.368e-5	-7.636e-9
0.323	4.367e-5	-7.638e-9
0.324	4.371e-5	-7.633e-9
0.325	4.366e-5	-7.636e-9
0.326	4.366e-5	-7.633e-9
0.327	4.368e-5	-7.637e-9
0.328	4.365e-5	-7.634e-9
0.329	4.369e-5	-7.631e-9
0.330	4.367e-5	-7.633e-9
0.331	4.367e-5	-7.648e-9
0.332	4.370e-5	-7.646e-9
0.333	4.362e-5	-7.644e-9
0.334	4.367e-5	-7.643e-9
0.335	4.367e-5	-7.639e-9
0.336	4.363e-5	-7.642e-9
0.337	4.368e-5	-7.646e-9
0.338	4.366e-5	-7.635e-9
0.339	4.366e-5	-7.634e-9
0.340	4.370e-5	-7.646e-9
0.341	4.366e-5	-7.649e-9
0.342	4.367e-5	-7.636e-9
0.343	4.368e-5	-7.646e-9
0.344	4.363e-5	-7.637e-9
0.345	4.367e-5	-7.643e-9
0.346	4.366e-5	-7.646e-9
0.347	4.366e-5	-7.638e-9
0.348	4.368e-5	-7.645e-9
0.349	4.362e-5	-7.636e-9
0.350	4.364e-5	-7.639e-9
0.351	4.366e-5	-7.637e-9
0.352	4.361e-5	-7.647e-9
0.353	4.365e-5	-7.637e-9
0.354	4.364e-5	-7.638e-9
0.355	4.362e-5	-7.634e-9
0.356	4.365e-5	-7.632e-9
0.357	4.357e-5	-7.643e-9
0.358	4.360e-5	-7.640e-9
0.359	4.361e-5	-7.642e-9
0.360	4.355e-5	-7.638e-9
0.361	4.356e-5	-7.640e-9
0.362	4.351e-5	-7.642e-9
0.363	4.347e-5	-7.645e-9
0.364	4.348e-5	-7.640e-9
