June 20, 2016   16:54:22
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.112e-5A
Ah = 1.080e-4C

Segment 4:

Segment 5:
Ep = 0.153V
ip = 1.094e-5A
Ah = 1.109e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:
Segment 4:
Ep = -0.245V
ip = -1.708e-11A
Ah = -1.633e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.144	2.651e-5	-7.616e-9
0.145	2.656e-5	-7.605e-9
0.146	2.657e-5	-7.613e-9
0.147	2.656e-5	-7.602e-9
0.148	2.662e-5	-7.585e-9
0.149	2.657e-5	-7.605e-9
0.150	2.660e-5	-7.619e-9
0.151	2.663e-5	-7.606e-9
0.152	2.660e-5	-7.613e-9
0.153	2.666e-5	-7.610e-9
0.154	2.668e-5	-7.607e-9
0.155	2.667e-5	-7.621e-9
0.156	2.672e-5	-7.612e-9
0.157	2.667e-5	-7.613e-9
0.158	2.670e-5	-7.612e-9
0.159	2.674e-5	-7.619e-9
0.160	2.672e-5	-7.614e-9
0.161	2.678e-5	-7.613e-9
0.162	2.679e-5	-7.609e-9
0.163	2.677e-5	-7.608e-9
0.164	2.682e-5	-7.614e-9
0.165	2.678e-5	-7.614e-9
0.166	2.681e-5	-7.610e-9
0.167	2.684e-5	-7.613e-9
0.168	2.683e-5	-7.618e-9
0.169	2.688e-5	-7.610e-9
0.170	2.687e-5	-7.615e-9
0.171	2.688e-5	-7.615e-9
0.172	2.692e-5	-7.616e-9
0.173	2.687e-5	-7.619e-9
0.174	2.690e-5	-7.618e-9
0.175	2.691e-5	-7.616e-9
0.176	2.687e-5	-7.612e-9
0.177	2.692e-5	-7.614e-9
0.178	2.692e-5	-7.621e-9
0.179	2.691e-5	-7.631e-9
0.180	2.694e-5	-7.624e-9
0.181	2.692e-5	-7.623e-9
0.182	2.694e-5	-7.617e-9
0.183	2.698e-5	-7.619e-9
0.184	2.694e-5	-7.622e-9
0.185	2.698e-5	-7.616e-9
0.186	2.698e-5	-7.620e-9
0.187	2.698e-5	-7.617e-9
0.188	2.703e-5	-7.621e-9
0.189	2.699e-5	-7.616e-9
0.190	2.702e-5	-7.620e-9
0.191	2.706e-5	-7.624e-9
0.192	2.702e-5	-7.628e-9
0.193	2.705e-5	-7.613e-9
0.194	2.705e-5	-7.620e-9
0.195	2.702e-5	-7.619e-9
0.196	2.706e-5	-7.615e-9
0.197	2.702e-5	-7.626e-9
0.198	2.705e-5	-7.618e-9
0.199	2.708e-5	-7.621e-9
0.200	2.706e-5	-7.634e-9
0.201	2.709e-5	-7.617e-9
0.202	2.707e-5	-7.621e-9
0.203	2.707e-5	-7.630e-9
0.204	2.712e-5	-7.619e-9
0.205	2.721e-5	-7.615e-9
0.206	2.719e-5	-7.621e-9
0.207	2.720e-5	-7.616e-9
0.208	2.714e-5	-7.615e-9
0.209	2.719e-5	-7.614e-9
0.210	2.720e-5	-7.622e-9
0.211	2.718e-5	-7.621e-9
0.212	2.721e-5	-7.618e-9
0.213	2.717e-5	-7.620e-9
0.214	2.720e-5	-7.630e-9
0.215	2.721e-5	-7.618e-9
0.216	2.717e-5	-7.619e-9
0.217	2.723e-5	-7.624e-9
0.218	2.722e-5	-7.620e-9
0.219	2.722e-5	-7.621e-9
0.220	2.725e-5	-7.627e-9
0.221	2.720e-5	-7.630e-9
0.222	2.722e-5	-7.617e-9
0.223	2.724e-5	-7.621e-9
0.224	2.721e-5	-7.625e-9
0.225	2.725e-5	-7.621e-9
0.226	2.725e-5	-7.619e-9
0.227	2.725e-5	-7.623e-9
0.228	2.729e-5	-7.625e-9
0.229	2.724e-5	-7.636e-9
0.230	2.724e-5	-7.624e-9
0.231	2.726e-5	-7.623e-9
0.232	2.724e-5	-7.634e-9
0.233	2.728e-5	-7.633e-9
0.234	2.726e-5	-7.627e-9
0.235	2.726e-5	-7.622e-9
0.236	2.730e-5	-7.626e-9
0.237	2.726e-5	-7.627e-9
0.238	2.729e-5	-7.632e-9
0.239	2.732e-5	-7.633e-9
0.240	2.728e-5	-7.631e-9
0.241	2.733e-5	-7.624e-9
0.242	2.735e-5	-7.631e-9
0.243	2.733e-5	-7.640e-9
0.244	2.738e-5	-7.639e-9
0.245	2.735e-5	-7.631e-9
0.246	2.736e-5	-7.625e-9
0.247	2.739e-5	-7.627e-9
0.248	2.735e-5	-7.627e-9
0.249	2.739e-5	-7.635e-9
0.250	2.738e-5	-7.632e-9
0.251	2.737e-5	-7.631e-9
0.252	2.743e-5	-7.632e-9
0.253	2.738e-5	-7.630e-9
0.254	2.740e-5	-7.629e-9
0.255	2.744e-5	-7.633e-9
0.256	2.741e-5	-7.628e-9
0.257	2.745e-5	-7.631e-9
0.258	2.745e-5	-7.632e-9
0.259	2.745e-5	-7.629e-9
0.260	2.749e-5	-7.628e-9
0.261	2.745e-5	-7.623e-9
0.262	2.746e-5	-7.630e-9
0.263	2.749e-5	-7.628e-9
0.264	2.743e-5	-7.629e-9
0.265	2.747e-5	-7.629e-9
0.266	2.744e-5	-7.630e-9
0.267	2.745e-5	-7.630e-9
0.268	2.749e-5	-7.629e-9
0.269	2.744e-5	-7.638e-9
0.270	2.748e-5	-7.634e-9
0.271	2.750e-5	-7.642e-9
0.272	2.744e-5	-7.628e-9
0.273	2.749e-5	-7.623e-9
0.274	2.750e-5	-7.635e-9
0.275	2.748e-5	-7.636e-9
0.276	2.753e-5	-7.629e-9
0.277	2.749e-5	-7.635e-9
0.278	2.751e-5	-7.627e-9
