June 22, 2016   17:42:48
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\2000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.175V
ip = 1.464e-5A
Ah = 1.223e-4C

Segment 4:
Ep = 0.000V
ip = -8.158e-7A
Ah = -9.230e-6C

Segment 5:
Ep = 0.183V
ip = 1.432e-5A
Ah = 1.117e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.087V
ip = -1.915e-8A
Ah = -2.458e-8C

Segment 3:
Segment 4:
Ep = -0.073V
ip = -2.929e-8A
Ah = -9.015e-8C

Segment 5:
Segment 6:
Ep = -0.454V
ip = -3.884e-8A
Ah = -3.215e-8C

Potential/V	i1/A	i2/A
0.139	2.270e-5	-7.585e-6
0.140	2.274e-5	-7.587e-6
0.141	2.272e-5	-7.594e-6
0.142	2.272e-5	-7.595e-6
0.143	2.275e-5	-7.585e-6
0.144	2.272e-5	-7.590e-6
0.145	2.276e-5	-7.588e-6
0.146	2.277e-5	-7.585e-6
0.147	2.276e-5	-7.592e-6
0.148	2.279e-5	-7.598e-6
0.149	2.277e-5	-7.590e-6
0.150	2.278e-5	-7.593e-6
0.151	2.280e-5	-7.589e-6
0.152	2.277e-5	-7.585e-6
0.153	2.282e-5	-7.589e-6
0.154	2.282e-5	-7.587e-6
0.155	2.281e-5	-7.590e-6
0.156	2.283e-5	-7.588e-6
0.157	2.277e-5	-7.589e-6
0.158	2.277e-5	-7.592e-6
0.159	2.279e-5	-7.587e-6
0.160	2.274e-5	-7.595e-6
0.161	2.275e-5	-7.594e-6
0.162	2.277e-5	-7.595e-6
0.163	2.274e-5	-7.592e-6
0.164	2.277e-5	-7.595e-6
0.165	2.273e-5	-7.594e-6
0.166	2.275e-5	-7.594e-6
0.167	2.278e-5	-7.592e-6
0.168	2.274e-5	-7.587e-6
0.169	2.278e-5	-7.597e-6
0.170	2.278e-5	-7.601e-6
0.171	2.276e-5	-7.595e-6
0.172	2.280e-5	-7.595e-6
0.173	2.277e-5	-7.597e-6
0.174	2.278e-5	-7.597e-6
0.175	2.282e-5	-7.592e-6
0.176	2.276e-5	-7.596e-6
0.177	2.279e-5	-7.592e-6
0.178	2.280e-5	-7.591e-6
0.179	2.278e-5	-7.589e-6
0.180	2.279e-5	-7.595e-6
0.181	2.277e-5	-7.595e-6
0.182	2.278e-5	-7.604e-6
0.183	2.281e-5	-7.592e-6
0.184	2.277e-5	-7.593e-6
0.185	2.280e-5	-7.597e-6
0.186	2.280e-5	-7.594e-6
0.187	2.280e-5	-7.602e-6
0.188	2.284e-5	-7.598e-6
0.189	2.278e-5	-7.597e-6
0.190	2.279e-5	-7.601e-6
0.191	2.283e-5	-7.592e-6
0.192	2.278e-5	-7.593e-6
0.193	2.282e-5	-7.596e-6
0.194	2.281e-5	-7.583e-6
0.195	2.278e-5	-7.599e-6
0.196	2.281e-5	-7.599e-6
0.197	2.276e-5	-7.595e-6
0.198	2.278e-5	-7.594e-6
0.199	2.279e-5	-7.595e-6
0.200	2.275e-5	-7.600e-6
0.201	2.278e-5	-7.592e-6
0.202	2.277e-5	-7.604e-6
0.203	2.276e-5	-7.597e-6
0.204	2.280e-5	-7.605e-6
0.205	2.286e-5	-7.596e-6
0.206	2.283e-5	-7.599e-6
0.207	2.286e-5	-7.592e-6
0.208	2.280e-5	-7.597e-6
0.209	2.283e-5	-7.595e-6
0.210	2.283e-5	-7.598e-6
0.211	2.281e-5	-7.597e-6
0.212	2.285e-5	-7.592e-6
0.213	2.281e-5	-7.599e-6
0.214	2.282e-5	-7.599e-6
0.215	2.283e-5	-7.597e-6
0.216	2.279e-5	-7.592e-6
0.217	2.282e-5	-7.592e-6
0.218	2.281e-5	-7.599e-6
0.219	2.281e-5	-7.596e-6
0.220	2.284e-5	-7.592e-6
0.221	2.279e-5	-7.592e-6
0.222	2.280e-5	-7.592e-6
0.223	2.283e-5	-7.594e-6
0.224	2.278e-5	-7.591e-6
0.225	2.282e-5	-7.587e-6
0.226	2.282e-5	-7.594e-6
0.227	2.280e-5	-7.596e-6
0.228	2.284e-5	-7.592e-6
0.229	2.280e-5	-7.596e-6
0.230	2.281e-5	-7.602e-6
0.231	2.282e-5	-7.598e-6
0.232	2.279e-5	-7.600e-6
0.233	2.282e-5	-7.603e-6
0.234	2.281e-5	-7.596e-6
0.235	2.280e-5	-7.596e-6
0.236	2.284e-5	-7.594e-6
0.237	2.279e-5	-7.596e-6
