June 22, 2016   17:13:43
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\1000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.284V
ip = 5.639e-6A
Ah = 3.400e-5C

Segment 4:

Segment 5:
Ep = 0.127V
ip = 4.396e-6A
Ah = 3.704e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.554V
ip = -2.245e-8A
Ah = -9.394e-8C

Ep = 0.367V
ip = -2.802e-8A
Ah = -3.973e-8C

Segment 3:
Segment 4:

Segment 5:
Segment 6:
Ep = 0.311V
ip = -2.023e-8A
Ah = -2.360e-8C

Ep = -0.076V
ip = -4.130e-8A
Ah = -1.619e-7C

Potential/V	i1/A	i2/A
0.139	2.733e-5	-7.591e-6
0.140	2.738e-5	-7.578e-6
0.141	2.737e-5	-7.594e-6
0.142	2.741e-5	-7.591e-6
0.143	2.747e-5	-7.592e-6
0.144	2.745e-5	-7.595e-6
0.145	2.749e-5	-7.590e-6
0.146	2.751e-5	-7.589e-6
0.147	2.752e-5	-7.593e-6
0.148	2.755e-5	-7.595e-6
0.149	2.753e-5	-7.602e-6
0.150	2.757e-5	-7.601e-6
0.151	2.760e-5	-7.598e-6
0.152	2.760e-5	-7.588e-6
0.153	2.766e-5	-7.585e-6
0.154	2.769e-5	-7.587e-6
0.155	2.770e-5	-7.587e-6
0.156	2.774e-5	-7.587e-6
0.157	2.772e-5	-7.588e-6
0.158	2.776e-5	-7.602e-6
0.159	2.780e-5	-7.579e-6
0.160	2.780e-5	-7.589e-6
0.161	2.784e-5	-7.593e-6
0.162	2.786e-5	-7.591e-6
0.163	2.786e-5	-7.589e-6
0.164	2.790e-5	-7.583e-6
0.165	2.788e-5	-7.589e-6
0.166	2.791e-5	-7.595e-6
0.167	2.794e-5	-7.596e-6
0.168	2.792e-5	-7.592e-6
0.169	2.795e-5	-7.599e-6
0.170	2.795e-5	-7.595e-6
0.171	2.795e-5	-7.597e-6
0.172	2.797e-5	-7.595e-6
0.173	2.792e-5	-7.602e-6
0.174	2.795e-5	-7.596e-6
0.175	2.799e-5	-7.611e-6
0.176	2.794e-5	-7.597e-6
0.177	2.798e-5	-7.595e-6
0.178	2.799e-5	-7.593e-6
0.179	2.796e-5	-7.600e-6
0.180	2.798e-5	-7.596e-6
0.181	2.796e-5	-7.602e-6
0.182	2.798e-5	-7.602e-6
0.183	2.800e-5	-7.605e-6
0.184	2.798e-5	-7.615e-6
0.185	2.803e-5	-7.602e-6
0.186	2.802e-5	-7.603e-6
0.187	2.802e-5	-7.605e-6
0.188	2.806e-5	-7.603e-6
0.189	2.803e-5	-7.615e-6
0.190	2.805e-5	-7.609e-6
0.191	2.809e-5	-7.601e-6
0.192	2.807e-5	-7.608e-6
0.193	2.812e-5	-7.600e-6
0.194	2.812e-5	-7.607e-6
0.195	2.812e-5	-7.611e-6
0.196	2.815e-5	-7.612e-6
0.197	2.812e-5	-7.604e-6
0.198	2.816e-5	-7.597e-6
0.199	2.818e-5	-7.603e-6
0.200	2.815e-5	-7.602e-6
0.201	2.817e-5	-7.607e-6
0.202	2.817e-5	-7.607e-6
0.203	2.816e-5	-7.607e-6
0.204	2.820e-5	-7.612e-6
0.205	2.826e-5	-7.597e-6
0.206	2.826e-5	-7.605e-6
0.207	2.827e-5	-7.602e-6
0.208	2.823e-5	-7.601e-6
0.209	2.826e-5	-7.600e-6
0.210	2.826e-5	-7.601e-6
0.211	2.826e-5	-7.596e-6
0.212	2.829e-5	-7.603e-6
0.213	2.825e-5	-7.601e-6
0.214	2.826e-5	-7.604e-6
0.215	2.828e-5	-7.602e-6
0.216	2.826e-5	-7.608e-6
0.217	2.829e-5	-7.603e-6
0.218	2.829e-5	-7.602e-6
0.219	2.829e-5	-7.602e-6
0.220	2.834e-5	-7.602e-6
0.221	2.830e-5	-7.606e-6
0.222	2.831e-5	-7.603e-6
0.223	2.835e-5	-7.604e-6
0.224	2.832e-5	-7.607e-6
0.225	2.836e-5	-7.606e-6
0.226	2.836e-5	-7.616e-6
0.227	2.835e-5	-7.611e-6
0.228	2.839e-5	-7.601e-6
0.229	2.836e-5	-7.606e-6
0.230	2.836e-5	-7.608e-6
0.231	2.836e-5	-7.601e-6
0.232	2.833e-5	-7.598e-6
0.233	2.833e-5	-7.604e-6
0.234	2.830e-5	-7.607e-6
0.235	2.832e-5	-7.611e-6
0.236	2.834e-5	-7.615e-6
0.237	2.831e-5	-7.611e-6
0.238	2.832e-5	-7.602e-6
0.239	2.834e-5	-7.606e-6
0.240	2.829e-5	-7.611e-6
0.241	2.833e-5	-7.607e-6
0.242	2.834e-5	-7.610e-6
0.243	2.834e-5	-7.603e-6
0.244	2.837e-5	-7.614e-6
0.245	2.835e-5	-7.607e-6
0.246	2.836e-5	-7.613e-6
0.247	2.837e-5	-7.603e-6
0.248	2.834e-5	-7.609e-6
0.249	2.836e-5	-7.608e-6
0.250	2.833e-5	-7.606e-6
0.251	2.831e-5	-7.605e-6
0.252	2.832e-5	-7.612e-6
0.253	2.826e-5	-7.612e-6
0.254	2.828e-5	-7.612e-6
0.255	2.828e-5	-7.611e-6
0.256	2.827e-5	-7.611e-6
0.257	2.828e-5	-7.613e-6
0.258	2.827e-5	-7.605e-6
0.259	2.826e-5	-7.604e-6
0.260	2.827e-5	-7.608e-6
0.261	2.823e-5	-7.605e-6
0.262	2.825e-5	-7.609e-6
0.263	2.826e-5	-7.611e-6
0.264	2.824e-5	-7.603e-6
0.265	2.828e-5	-7.602e-6
0.266	2.827e-5	-7.622e-6
0.267	2.826e-5	-7.602e-6
0.268	2.829e-5	-7.604e-6
0.269	2.825e-5	-7.606e-6
0.270	2.827e-5	-7.610e-6
0.271	2.828e-5	-7.622e-6
0.272	2.823e-5	-7.609e-6
0.273	2.827e-5	-7.599e-6
0.274	2.825e-5	-7.611e-6
0.275	2.826e-5	-7.613e-6
0.276	2.829e-5	-7.622e-6
0.277	2.824e-5	-7.610e-6
0.278	2.824e-5	-7.621e-6
0.279	2.826e-5	-7.610e-6
0.280	2.823e-5	-7.612e-6
0.281	2.826e-5	-7.614e-6
0.282	2.823e-5	-7.611e-6
0.283	2.824e-5	-7.616e-6
0.284	2.826e-5	-7.615e-6
0.285	2.822e-5	-7.618e-6
0.286	2.824e-5	-7.621e-6
0.287	2.825e-5	-7.622e-6
0.288	2.822e-5	-7.611e-6
0.289	2.825e-5	-7.611e-6
0.290	2.824e-5	-7.621e-6
0.291	2.822e-5	-7.626e-6
0.292	2.826e-5	-7.625e-6
0.293	2.822e-5	-7.621e-6
0.294	2.823e-5	-7.621e-6
0.295	2.826e-5	-7.623e-6
0.296	2.823e-5	-7.620e-6
0.297	2.826e-5	-7.615e-6
0.298	2.824e-5	-7.618e-6
0.299	2.824e-5	-7.621e-6
0.300	2.828e-5	-7.624e-6
0.301	2.824e-5	-7.623e-6
0.302	2.826e-5	-7.620e-6
0.303	2.830e-5	-7.622e-6
0.304	2.826e-5	-7.628e-6
0.305	2.831e-5	-7.621e-6
0.306	2.831e-5	-7.623e-6
0.307	2.834e-5	-7.632e-6
0.308	2.836e-5	-7.619e-6
0.309	2.833e-5	-7.626e-6
0.310	2.833e-5	-7.619e-6
0.311	2.834e-5	-7.624e-6
0.312	2.830e-5	-7.624e-6
0.313	2.834e-5	-7.623e-6
0.314	2.832e-5	-7.627e-6
0.315	2.831e-5	-7.623e-6
0.316	2.833e-5	-7.630e-6
0.317	2.827e-5	-7.633e-6
0.318	2.829e-5	-7.616e-6
0.319	2.830e-5	-7.624e-6
0.320	2.828e-5	-7.626e-6
0.321	2.832e-5	-7.634e-6
0.322	2.831e-5	-7.624e-6
0.323	2.828e-5	-7.629e-6
0.324	2.830e-5	-7.623e-6
0.325	2.826e-5	-7.627e-6
0.326	2.827e-5	-7.629e-6
0.327	2.827e-5	-7.624e-6
0.328	2.823e-5	-7.622e-6
0.329	2.825e-5	-7.626e-6
0.330	2.821e-5	-7.627e-6
0.331	2.821e-5	-7.623e-6
0.332	2.824e-5	-7.624e-6
0.333	2.819e-5	-7.625e-6
0.334	2.822e-5	-7.625e-6
0.335	2.824e-5	-7.635e-6
0.336	2.819e-5	-7.630e-6
0.337	2.822e-5	-7.631e-6
0.338	2.820e-5	-7.621e-6
0.339	2.820e-5	-7.627e-6
0.340	2.823e-5	-7.629e-6
0.341	2.820e-5	-7.624e-6
0.342	2.820e-5	-7.621e-6
0.343	2.821e-5	-7.631e-6
0.344	2.817e-5	-7.626e-6
0.345	2.822e-5	-7.626e-6
0.346	2.819e-5	-7.628e-6
0.347	2.820e-5	-7.628e-6
0.348	2.822e-5	-7.628e-6
0.349	2.816e-5	-7.633e-6
0.350	2.818e-5	-7.634e-6
0.351	2.820e-5	-7.626e-6
0.352	2.816e-5	-7.626e-6
0.353	2.819e-5	-7.628e-6
0.354	2.818e-5	-7.624e-6
0.355	2.816e-5	-7.630e-6
0.356	2.818e-5	-7.632e-6
0.357	2.813e-5	-7.635e-6
0.358	2.816e-5	-7.622e-6
0.359	2.819e-5	-7.630e-6
0.360	2.815e-5	-7.633e-6
0.361	2.818e-5	-7.654e-6
0.362	2.815e-5	-7.624e-6
0.363	2.814e-5	-7.620e-6
0.364	2.816e-5	-7.621e-6
0.365	2.812e-5	-7.626e-6
0.366	2.813e-5	-7.623e-6
0.367	2.816e-5	-7.625e-6
0.368	2.812e-5	-7.625e-6
0.369	2.816e-5	-7.623e-6
0.370	2.815e-5	-7.619e-6
0.371	2.815e-5	-7.626e-6
0.372	2.818e-5	-7.626e-6
0.373	2.813e-5	-7.633e-6
0.374	2.816e-5	-7.631e-6
0.375	2.816e-5	-7.629e-6
0.376	2.813e-5	-7.623e-6
0.377	2.817e-5	-7.626e-6
0.378	2.815e-5	-7.623e-6
0.379	2.814e-5	-7.621e-6
0.380	2.817e-5	-7.633e-6
0.381	2.812e-5	-7.630e-6
0.382	2.815e-5	-7.626e-6
0.383	2.817e-5	-7.633e-6
0.384	2.812e-5	-7.631e-6
0.385	2.817e-5	-7.632e-6
0.386	2.817e-5	-7.633e-6
0.387	2.815e-5	-7.626e-6
0.388	2.817e-5	-7.630e-6
0.389	2.812e-5	-7.626e-6
0.390	2.814e-5	-7.631e-6
0.391	2.817e-5	-7.631e-6
0.392	2.814e-5	-7.636e-6
0.393	2.817e-5	-7.628e-6
0.394	2.816e-5	-7.620e-6
0.395	2.817e-5	-7.629e-6
0.396	2.819e-5	-7.634e-6
0.397	2.813e-5	-7.641e-6
0.398	2.815e-5	-7.636e-6
0.399	2.818e-5	-7.624e-6
0.400	2.813e-5	-7.630e-6
0.401	2.816e-5	-7.635e-6
0.402	2.815e-5	-7.631e-6
0.403	2.815e-5	-7.636e-6
0.404	2.817e-5	-7.629e-6
0.405	2.813e-5	-7.625e-6
0.406	2.814e-5	-7.628e-6
0.407	2.817e-5	-7.633e-6
0.408	2.813e-5	-7.635e-6
0.409	2.823e-5	-7.629e-6
0.410	2.834e-5	-7.624e-6
0.411	2.830e-5	-7.614e-6
0.412	2.832e-5	-7.610e-6
0.413	2.826e-5	-7.624e-6
0.414	2.827e-5	-7.628e-6
0.415	2.829e-5	-7.622e-6
0.416	2.825e-5	-7.625e-6
0.417	2.830e-5	-7.627e-6
0.418	2.829e-5	-7.622e-6
0.419	2.829e-5	-7.627e-6
0.420	2.832e-5	-7.632e-6
0.421	2.828e-5	-7.630e-6
0.422	2.831e-5	-7.627e-6
0.423	2.832e-5	-7.621e-6
