image_path,L
/Volumes/ExtWork/Suda Electrochromism/20150523/images/01 oxd 1.JPG,32.2355
/Volumes/ExtWork/Suda Electrochromism/20150523/images/02 oxd 2.JPG,33.3402
/Volumes/ExtWork/Suda Electrochromism/20150523/images/04 oxd 3 before UV measure.JPG,36.1096
/Volumes/ExtWork/Suda Electrochromism/20150523/images/05 red 1.JPG,16.0486
/Volumes/ExtWork/Suda Electrochromism/20150523/images/06 red 2.JPG,20.5667
/Volumes/ExtWork/Suda Electrochromism/20150523/images/08 red 3 before UV measure.JPG,16.8527
