image_path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/01 oxd 1.JPG, 32.5738, 64.6724, 36.2189, 27.1704, 29.2062, 44.5348, 38.8415, 37.7335, 49.3806, 18.0404, 50.2687, 60.3199, 17.0421, 30.7104, 27.2193, 69.7113, 54.6738, 31.0613, 74.6551, 53.8508, 65.5421, 39.2698, 10.1165,  4.9338
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/02 oxd 2.JPG, 30.7574, 61.2914, 32.1898, 24.7492, 26.1590, 41.1369, 35.9772, 32.9704, 45.9718, 15.2297, 47.1820, 58.3066, 13.3341, 25.9729, 24.1378, 66.5431, 50.9436, 28.8740, 70.2858, 48.6183, 60.4508, 35.3452,  8.8796,  4.7562
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/04 oxd 3 before UV measure.JPG, 30.8710, 61.9189, 33.1000, 24.9853, 25.6213, 39.7236, 36.2316, 33.4419, 46.3398, 15.4783, 46.0877, 56.5960, 13.8646, 26.5772, 24.4176, 66.3205, 49.2731, 27.3721, 70.8388, 48.8776, 60.5798, 34.6609,  8.5733,  4.4896
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/05 red 1.JPG, 27.2062, 56.4018, 28.5772, 21.2449, 22.1845, 36.2378, 32.5911, 29.7111, 42.0162, 12.6456, 42.7068, 52.6667, 11.7813, 23.4872, 21.2185, 61.6095, 46.0320, 25.2679, 65.5843, 45.0496, 56.2472, 31.7603,  7.4719,  4.0967
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/06 red 2.JPG, 31.4756, 62.7339, 34.9470, 26.7155, 28.4331, 44.2019, 36.7230, 35.4653, 47.7466, 17.0816, 49.4329, 59.7680, 15.1160, 28.8100, 26.2463, 68.6646, 53.7055, 31.3290, 70.9648, 50.8327, 63.1541, 38.1937,  9.9383,  5.2755
/Volumes/Mac Ext 2/Suda Electrochromism/20150523/images/08 red 3 before UV measure.JPG, 32.3888, 63.7070, 36.2484, 27.4924, 29.9351, 46.2517, 38.2875, 37.0594, 49.6192, 17.9779, 51.0318, 60.8590, 15.8064, 29.8274, 26.7995, 68.9695, 54.4347, 31.7452, 72.4163, 52.6498, 64.1076, 38.8977, 10.3947,  5.1874
