302,59.0763440209
303,59.0651127375
304,58.2478567146
305,57.4672447309
306,56.8986769645
307,56.312413612
308,56.0211430898
309,55.681504246
310,55.4686366815
311,55.1967734808
312,54.9629837685
313,54.7673872141
314,54.5994706473
315,54.3582932009
316,54.1071852765
317,53.8885134386
318,53.6944765788
319,53.4935721534
320,53.2752950502
321,53.0475947512
322,52.9292261677
323,52.6075110124
324,52.5668472694
325,52.229910302
326,52.0214572243
327,51.8631070398
328,51.6030409434
329,51.4145299626
330,51.1894390285
331,50.9289274244
332,50.6482862991
333,50.4831520462
334,50.2780895675
335,50.1032007723
336,49.9749218455
337,49.6676708291
338,49.4592315701
339,49.4249994592
340,49.126086418
341,49.1304096713
342,48.8774455487
343,48.7977927295
344,48.6685488924
345,48.4352862095
346,48.4762359587
347,48.3373619914
348,48.3363745091
349,48.1228365204
350,48.0384207384
351,47.8999908624
352,47.7996989026
353,47.6882625365
354,47.7744558664
355,47.5288316681
356,47.5684914875
357,47.4475936176
358,47.4859827067
359,47.2134810061
360,47.3549876519
361,47.2799163332
