482,31.9309485245
483,31.8949893311
484,30.4458114768
485,29.6309657397
486,29.1770075008
487,28.9880312849
488,28.5633151081
489,28.4426152375
490,28.1509563371
491,27.9902082268
492,27.8686894725
493,27.7349681362
494,27.6052192485
495,27.2631053153
496,27.2337293059
497,27.2430422105
498,27.0819187265
499,26.8074374088
500,26.8969976073
501,26.8131344857
502,26.6521877369
503,26.6671826239
504,26.52136045
505,26.6379167395
506,26.4195259201
507,26.4055768089
508,26.3927580042
509,26.225846464
510,26.2981867425
511,26.2292264028
512,26.1489306181
513,26.2022486419
514,26.1658372265
515,25.9792231805
516,26.089473822
517,26.2011145476
518,26.0280726628
519,25.9418638235
520,26.1152868249
521,25.9275932415
522,25.8924733178
523,25.9679012034
524,25.9395172865
525,25.839618637
526,25.7643507227
527,25.8973396583
528,25.8359839169
529,25.8445755862
530,25.8382055402
531,25.7408412192
532,25.794980152
533,25.7775445266
534,25.7186528511
535,25.7429307587
536,25.6318729746
537,25.7649878171
538,25.7227004837
539,25.6575307271
540,25.9042759947
541,25.6952558546
