Posn (Âµm),C At%,O At%,Ga At%,Na At%,Si At%,Ca At%,K At%,S At%,,,左からカーボン蒸着膜、PEDOT/PU、ガラス,,,,縦軸は原子%
2.578,49.46575,32.18515,6.510015,2.122516,6.436538,1.691956,0.3498907,1.238198,,,,,,,
2.621,51.27186,30.88036,6.400224,2.151526,6.061081,1.629025,0.4285474,1.177376,,,,,,,
2.664,51.5097,31.52279,6.145383,1.800412,5.965554,1.522019,0.3778468,1.156298,,,,,,,
2.707,53.02122,30.24873,5.864825,2.010188,5.800214,1.544284,0.4433693,1.067173,,,,,,,
2.750,53.44656,30.60888,5.652781,1.747555,6.061565,1.321771,0.2430496,0.9178298,,,,,,,
2.793,52.09403,31.44583,5.421959,1.903679,6.222918,1.64763,0.3409999,0.9229527,,,,,,,
2.836,52.20502,31.67991,5.347649,1.804808,6.242079,1.460357,0.3255762,0.9345919,,,,,,,
2.879,52.693,31.22337,4.994511,1.793279,6.62831,1.394703,0.3776076,0.8952167,,,,,,,
2.922,50.3242,33.00828,4.894203,1.902857,7.125132,1.55518,0.336538,0.8536162,,,,,,,
2.965,50.4397,32.81831,4.508976,2.007281,7.360347,1.43924,0.4528163,0.9733372,,,,,,,
3.008,48.43761,34.16422,4.376619,2.038182,8.250082,1.551967,0.389951,0.7913585,,,,,,,
3.051,44.48419,36.8902,4.209536,1.843175,9.390372,1.945375,0.4014705,0.8356884,,,,,,,
3.093,39.98481,39.47689,4.266978,1.924409,11.13648,2.056066,0.4444605,0.7099003,,,,,,,
3.136,33.8029,43.51028,4.285998,1.990292,13.25757,2.178387,0.5543325,0.4202547,,,,,,,
3.179,25.40687,48.73606,4.44401,1.802871,16.39042,2.488253,0.3976652,0.3338706,,,,,,,
3.222,21.54046,51.11592,4.221222,1.849894,17.725,2.637024,0.5791365,0.3313393,,,,,,,
3.265,15.10783,54.74346,4.497458,1.971655,19.75525,3.018595,0.6670086,0.2387528,,,,,,,
3.308,11.37753,57.33225,4.495332,2.044866,21.10085,3.079963,0.4458481,0.1233562,,,,,,,
3.351,6.452034,60.33213,4.420023,1.947598,23.2647,2.816849,0.5386854,0.227996,,,,,,,
3.394,4.464523,61.23048,4.509048,1.952825,23.76742,3.479993,0.5159974,0.07972705,,,,,,,
3.437,3.844592,61.74683,4.725312,1.999625,23.60857,3.336051,0.5064623,0.2325651,,,,,,,
3.480,2.264322,62.48663,4.708703,1.835819,24.70292,3.296147,0.6787042,0.02676398,,,,,,,
3.523,2.920974,62.13961,4.663414,1.867567,24.52114,3.100073,0.6621127,0.1250943,,,,,,,
3.566,0.6434242,62.96651,4.876425,2.036536,25.32283,3.489367,0.4410419,0.2238604,,,,,,,
3.609,0.2970731,62.91551,4.990741,2.016184,25.80509,3.169602,0.6130886,0.1927222,,,,,,,
3.652,1.894912,61.46848,5.269077,1.959013,25.89599,2.904965,0.5949013,0.01265236,,,,,,,
3.695,0,63.39039,5.313917,1.90138,25.68531,3.08034,0.5437981,0.08487071,,,,,,,
3.738,1.201006,62.50776,5.490353,1.885185,25.33112,2.986296,0.4546952,0.1435921,,,,,,,
3.781,1.96833,61.57653,5.348683,1.641767,25.60193,3.404177,0.3022044,0.1563823,,,,,,,
3.824,1.130066,61.95327,5.758651,1.611218,25.68771,3.252644,0.5165208,0.08991967,,,,,,,
3.867,0.9385942,62.09885,5.867925,1.621739,25.8343,3.195252,0.3708192,0.07251976,,,,,,,
3.910,0.7496992,61.92963,6.136049,1.833138,25.65005,3.350617,0.2999342,0.05089386,,,,,,,
3.953,1.226787,61.72565,6.064086,1.495954,25.69908,3.208448,0.4065663,0.173424,,,,,,,
3.996,3.316098,60.27293,5.945761,1.464962,25.38315,3.129674,0.3131711,0.1742649,,,,,,,
4.039,1.952511,60.79279,6.216674,1.583092,25.6374,3.188231,0.4701585,0.1591361,,,,,,,
4.082,1.181244,61.19432,6.366208,1.701252,25.92934,3.22323,0.308787,0.09562427,,,,,,,
4.125,0.1773977,61.77874,6.474535,1.494382,26.62994,2.976096,0.2769849,0.1919178,,,,,,,
4.168,1.79239,61.53967,6.316531,1.373535,25.75132,2.824949,0.1635236,0.2380865,,,,,,,
4.211,1.528906,61.2789,6.346618,1.382633,26.50687,2.642992,0.3130828,0,,,,,,,
4.254,1.377663,60.94765,6.050052,1.363332,27.16331,2.764313,0.2523733,0.08129357,,,,,,,
