movie_name,slice,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
7922,1, 28.9727, 50.4845, 31.1235, 24.5036, 23.4387, 42.0013, 35.2767, 31.1953, 44.2650, 13.3672, 38.1204, 53.6746, 13.4736, 27.0686, 29.4736, 58.7399, 41.6383, 26.9669, 62.1249, 50.5053, 51.2163, 39.1522, 11.6797,  8.8956
7923,1, 21.7092, 46.9461, 20.8689, 15.7531, 15.9504, 27.1933, 27.8517, 23.4656, 34.2655,  9.6122, 34.8185, 44.6517,  8.6752, 18.3633, 22.0349, 49.6726, 39.1838, 17.8890, 59.1199, 42.9002, 50.8786, 26.0462,  6.0556,  3.4732
7923,1, 19.9308, 46.7220, 35.5100, 28.0488, 25.9306, 34.2232, 15.4051, 18.2222, 23.9131,  9.9572, 37.3899, 40.0329, 14.3224, 14.8017, 19.7053, 20.3423, 29.9980, 28.6929, 36.3479, 24.3128, 32.8934, 29.3776, 18.9148,  9.4976
7923,1, 26.9104, 51.6907, 28.0561, 22.0220, 23.3201, 37.2612, 32.1740, 30.0030, 37.3351, 10.9926, 39.2372, 49.4972, 11.9054, 26.0521, 25.0926, 52.6369, 35.3011, 22.3528, 52.4748, 50.6537, 54.8833, 32.5315,  9.6400,  7.2427
7924,1, 24.3116, 48.7339, 24.0233, 16.9346, 16.8305, 28.2835, 30.5794, 22.6694, 33.7993,  9.1061, 37.6162, 46.9490, 10.8935, 20.0159, 22.9514, 47.4231, 38.9999, 19.1486, 58.7137, 40.6051, 44.3856, 26.5220,  6.1655,  4.6554
7924,1, 25.7019, 56.9891, 39.8766, 29.3404, 26.9618, 38.6506, 21.0967, 24.7939, 32.1558, 14.7886, 45.0544, 47.9545, 15.0579, 16.8671, 21.8112, 29.9270, 35.2183, 23.5821, 44.0751, 34.6199, 38.3856, 29.9059, 13.0670,  9.8358
7924,1, 29.7391, 55.9257, 31.3063, 25.6261, 26.9738, 42.5962, 35.0755, 34.2434, 43.8165, 13.3050, 44.9627, 53.8189, 12.9641, 29.9092, 29.4103, 62.2689, 47.9870, 27.7957, 64.7604, 53.8972, 61.1705, 39.8075, 11.1510,  6.8691
7925,1, 23.1975, 52.3719, 23.5789, 17.3651, 17.2049, 26.0626, 29.7729, 24.9190, 35.6318, 11.7915, 34.7849, 44.0298,  9.7605, 19.7881, 21.9800, 53.8043, 40.0150, 18.7846, 62.2687, 44.0373, 49.0345, 27.2050,  8.2732,  3.8564
7925,1, 24.2528, 55.7094, 35.0890, 21.8009, 19.0365, 28.1788, 22.4296, 24.0492, 36.2918, 12.0049, 44.4820, 51.1827, 13.2242, 17.3538, 21.6195, 37.6409, 32.0195, 19.5348, 53.1340, 30.8341, 38.6622, 24.9438, 12.6138,  9.3346
7925,1, 25.7952, 54.5045, 28.7174, 22.5036, 23.3410, 37.5678, 29.3231, 33.8786, 43.0203, 13.1780, 41.4939, 51.4395, 11.6790, 26.6198, 25.8520, 57.4320, 44.4322, 24.0832, 63.2666, 49.6394, 56.9726, 33.5885,  8.6100,  5.8942
7926,1, 13.2045, 53.2896, 24.8648, 19.3404, 18.1071, 26.7631, 30.8803, 26.2380, 38.3220, 12.4698, 37.5146, 45.2059,  9.6824, 19.6197, 23.2382, 52.1699, 41.1219, 19.3587, 62.7306, 44.6761, 47.9641, 27.3709,  9.1147,  4.0827
7926,1, 23.3694, 56.1570, 35.6942, 21.9419, 17.6170, 26.4003, 20.6049, 20.8223, 38.0884, 11.2418, 43.2352, 49.3655, 15.3542, 16.4874, 20.0295, 31.1082, 30.4184, 18.9111, 46.4660, 32.2905, 39.2093, 23.3048, 13.2462,  8.8528
7926,1, 24.4693, 52.2333, 27.6919, 21.1146, 22.3812, 36.3624, 29.6330, 31.8961, 41.7119, 11.7979, 40.7729, 50.8035, 10.7388, 23.5822, 24.7190, 53.7704, 43.9305, 22.8847, 61.5848, 47.3852, 53.4981, 32.1428,  8.1722,  5.5830
7927,1, 14.0104, 53.0792, 25.6797, 19.7751, 19.3971, 28.3150, 29.0546, 26.6820, 37.6582, 12.8267, 35.7943, 45.0592, 10.1397, 18.4044, 21.7599, 48.7482, 38.7332, 20.3106, 50.0298, 41.6360, 40.8030, 27.1494,  9.3802,  6.8960
7927,1, 22.0635, 51.8228, 35.1621, 21.5593, 20.8814, 26.8238, 19.0836, 23.6189, 33.8509, 12.6241, 36.6084, 39.3056, 20.1118, 18.1983, 23.9926, 33.1783, 31.9258, 21.9977, 37.4601, 28.1797, 32.8157, 25.8660, 17.1305,  9.4191
7927,1, 22.9898, 45.7400, 27.3614, 21.4005, 22.1679, 33.6190, 26.6809, 28.6175, 41.1441, 12.4511, 40.0452, 47.4738, 10.6523, 24.0081, 23.3881, 57.6829, 42.5047, 20.6848, 58.6859, 45.6024, 51.3534, 31.3610,  8.0566,  5.3954
7928,1, 22.4193, 44.4427, 21.7116, 14.1027, 14.5278, 26.4124, 26.6510, 23.5247, 29.0310,  9.0179, 29.5345, 42.8787, 10.3161, 19.2416, 20.7762, 43.1642, 37.0517, 17.8006, 56.3948, 35.8136, 41.0495, 26.2891,  5.4973,  3.6725
7928,1, 24.7732, 57.8118, 37.7096, 24.1759, 18.7610, 27.3946, 19.5267, 24.0343, 33.3320, 13.3771, 43.5448, 47.2034, 22.3579, 20.9896, 24.9386, 31.2933, 33.1195, 22.5269, 29.3016, 24.3377, 28.4040, 30.0930, 16.7694, 10.0032
7928,1, 26.1824, 49.6290, 27.0975, 21.9049, 24.3917, 37.1989, 31.9032, 34.1883, 42.5422, 15.2851, 38.5603, 52.3996, 14.5752, 29.8336, 28.4385, 57.3846, 42.4406, 23.1063, 61.2210, 51.2088, 57.0620, 36.8553, 10.4314,  7.0354
7929,1, 23.7756, 40.7476, 21.1336, 14.2461, 12.6955, 24.1047, 26.5902, 21.9836, 29.7267,  8.0486, 30.1029, 38.9107,  9.8710, 16.9635, 20.3345, 34.3194, 33.2233, 15.2518, 45.8872, 36.5488, 32.6140, 23.2181,  6.5799,  3.9476
7929,1, 21.1100, 52.0098, 35.1176, 22.0877, 18.7019, 28.2314, 18.5023, 26.2714, 36.9310, 13.0658, 45.2737, 49.9318, 20.3940, 16.7948, 22.9108, 36.3249, 31.5924, 20.6760, 34.1425, 31.0890, 37.4744, 25.1054, 12.7599,  9.8840
7929,1, 26.4962, 49.5135, 26.5691, 22.4638, 23.9747, 36.5447, 30.9009, 33.7991, 42.4630, 14.1050, 39.0130, 44.7714, 13.1055, 26.1392, 26.5648, 58.1164, 43.0515, 23.3749, 58.2884, 45.2864, 48.8922, 36.6675, 10.1197,  6.8292
7930,1, 27.0207, 44.5288, 22.8899, 15.7206, 15.7431, 23.1940, 29.5430, 25.4076, 30.4470,  8.6170, 30.2612, 44.0074, 12.1627, 20.0679, 22.0926, 43.2962, 36.3308, 17.8828, 59.9751, 43.9699, 41.5498, 25.5396,  6.1808,  4.3590
7930,1, 23.2522, 56.8957, 38.0571, 24.6288, 19.7856, 28.0600, 20.4749, 25.0649, 36.5366, 15.0293, 45.3758, 46.2071, 23.5652, 19.5123, 26.3976, 34.3448, 33.5802, 22.9261, 31.8868, 31.0197, 36.6331, 29.9478, 16.2249, 11.1026
7930,1, 27.4373, 46.8421, 26.3950, 22.6134, 26.0217, 33.0991, 28.5846, 28.7992, 33.6064, 16.1950, 40.3853, 45.3879, 14.7293, 26.7220, 26.2132, 45.8123, 36.2562, 23.6098, 61.6324, 45.4732, 49.0926, 34.1245, 11.9502,  8.7198
7932,1, 26.6517, 44.9583, 23.2630, 18.7033, 17.5582, 28.3942, 31.2235, 24.2427, 31.1886, 12.7627, 37.9644, 46.5694, 10.8416, 18.5843, 20.3860, 51.1892, 42.6325, 22.4177, 57.4997, 40.7570, 45.2314, 29.1153, 11.2805,  5.6968
7932,1, 34.6670, 65.4322, 42.5603, 28.6226, 23.5369, 33.8501, 40.5499, 38.7537, 51.7159, 20.6552, 52.4677, 58.3532, 13.8682, 24.2116, 27.3056, 64.6895, 49.4379, 26.0855, 65.1854, 45.9921, 53.5490, 31.7024,  9.7601,  5.6215
7932,1, 20.1690, 53.2434, 36.9999, 37.8118, 44.7815, 38.8862, 23.2670, 34.0960, 43.0762, 25.2636, 52.4499, 49.9750, 14.0004, 36.5441, 36.9463, 62.6904, 47.0374, 25.3421, 55.6918, 58.9142, 60.5662, 44.0284, 20.9586, 13.4321
7933,1, 26.2874, 49.0964, 22.9791, 18.4585, 17.6728, 25.4210, 27.7836, 23.6888, 26.0586, 12.7580, 33.7977, 41.8974, 10.5857, 18.2290, 22.6683, 49.5561, 38.5955, 20.7158, 56.1768, 34.4255, 43.7204, 28.9890, 11.4307,  5.4876
7933,1, 29.8049, 60.1244, 38.9155, 26.4218, 21.3860, 30.3888, 33.2151, 34.4920, 46.4103, 19.3283, 50.1163, 56.8267, 12.1222, 21.9528, 25.5637, 64.4030, 48.5759, 25.0035, 63.6771, 45.1739, 53.2095, 31.7380,  9.3067,  5.6433
7933,1, 20.0989, 52.5930, 40.2131, 41.5373, 51.5661, 40.9706, 22.5052, 39.1585, 48.1000, 35.2591, 57.8035, 52.4045, 16.1121, 38.7688, 43.2941, 64.4357, 50.8055, 33.9845, 53.2427, 63.3297, 64.7964, 49.6372, 28.7286, 18.3766
7934,1, 25.7468, 44.9200, 22.8597, 20.4444, 17.7404, 27.3491, 28.6122, 24.9789, 28.3586, 12.8613, 36.1318, 44.6328, 10.8859, 17.9425, 22.1103, 44.5608, 40.7109, 22.0273, 50.6024, 37.1268, 38.5238, 29.5372, 12.3837,  6.1578
7934,1, 31.2173, 63.2034, 40.0724, 24.9876, 19.2953, 28.6490, 30.4192, 35.6362, 48.8722, 18.7736, 50.6969, 57.1495, 12.1090, 18.6552, 24.9216, 61.5516, 46.7251, 23.3966, 57.1195, 38.0824, 46.7628, 28.7751,  7.9365,  4.8877
7934,1, 17.6424, 54.9597, 44.8911, 44.9044, 53.5201, 37.4349, 24.9168, 42.6669, 54.9121, 40.3381, 62.7733, 55.1796, 17.6635, 46.3740, 43.6399, 60.8246, 54.5998, 38.8699, 55.1583, 63.1993, 64.2913, 54.6281, 34.0159, 26.1402
7936,1, 26.4777, 39.3740, 23.3941, 18.4891, 16.7973, 20.1207, 26.1104, 23.5238, 26.7405,  8.6819, 30.5841, 35.5947, 12.6675, 18.9334, 22.9781, 28.4354, 38.1288, 17.6808, 49.4796, 35.9982, 29.7532, 24.7391,  8.9176,  4.2230
7936,1, 23.5897, 33.0814, 29.1845, 26.2279, 25.9352, 34.6464, 16.4916, 25.3940, 18.9512, 14.5274, 25.5795, 32.0001, 22.4579, 17.5224, 25.1741, 10.0380, 40.1983, 46.1770, 29.7181, 24.5344, 22.3578, 38.1451, 30.1978, 17.5908
7936,1, 32.1379, 66.1443, 59.9273, 63.9832, 59.3496, 60.0391, 43.8059, 61.6971, 65.8695, 60.9742, 64.7701, 67.8743, 50.2757, 66.1260, 63.0351, 68.3102, 64.7682, 60.2757, 63.6469, 62.1579, 67.4005, 65.6741, 62.9527, 48.9429
7937,1, 26.2930, 42.1355, 22.3594, 19.3216, 17.3398, 23.6555, 26.7679, 23.2734, 30.0881, 13.3963, 36.2584, 43.1377, 11.4926, 21.7521, 21.7683, 53.6451, 42.8161, 20.7985, 60.3001, 46.7274, 50.7592, 31.3723,  8.6297,  4.1400
