Slice,X,Y
1,135.333,312.333
1,146.333,347
1,199,326.333
1,188.667,291.333
1,283,265
1,283.667,297
1,343.667,293
1,343.667,259.333
1,438.333,209.667
1,424.667,244.333
1,476.667,265.667
1,489.667,230.333
2,135.333,311.667
2,146.333,347
2,199,326.667
2,188.667,291
2,283,265
2,283,297.333
2,343.667,292
2,344,258.667
2,438.667,209.667
2,424.333,243
2,476,264.667
2,489.667,230
3,135,311.667
3,145.667,346.667
3,199,326.333
3,188.667,290.667
3,283,264.667
3,283,297
3,342.667,292.333
3,343,258.667
3,438,210
3,424.333,243.333
3,475.333,264.667
3,489.667,230
4,147.667,336
4,159.667,370.333
4,211.667,346.333
4,200,311.667
4,291.333,274.333
4,300.333,312.667
4,360,303.333
4,350.667,266
4,442,180.333
4,439.667,216.333
4,496,220
4,497.667,183.333
5,147.667,336
5,160,370.333
5,212,346.667
5,200.333,311.333
5,291.333,274.667
5,300,310.333
5,360.667,301
5,351,265.667
5,441.667,179.667
5,440.333,215.667
5,496.333,219.333
5,497.667,183
6,147.667,335.667
6,159.667,370
6,211.667,346.667
6,200,311.333
6,291,273.667
6,299.667,310
6,360.333,301.333
6,350.333,265.333
6,441.333,180
6,439.667,216
6,496.333,220
6,498,183
7,93.667,348.333
7,105,382.333
7,159,358.333
7,146.667,323.333
7,280.667,284.667
7,285.333,317.333
7,343.667,301.667
7,339.667,268.333
7,419,188.333
7,425.667,224
7,481,215.667
7,474.667,178.333
8,93.333,350.667
8,105.667,384.667
8,159.333,360
8,146.667,325.667
8,280.667,286.333
8,285.667,319
8,344.667,304
8,340,270.333
8,419.667,190.667
8,426.333,225.667
8,481.667,216.333
8,475.333,179.667
9,93.333,351.667
9,105.333,384.667
9,159.333,360.333
9,146.333,326.667
9,280.333,287
9,285,320.333
9,344,305
9,339.667,271
9,419.667,192.667
9,428.333,228.333
9,483.333,215.667
9,474.333,180.333
10,118,408
10,131.5,442
10,186,412
10,172,378
10,311,337
10,316,368.5
10,373.5,349
10,370.5,318
10,444,229.5
10,456,264
10,510,248.5
10,499,212.5
11,173,415
11,186.5,448
11,240,419
11,225.5,385
11,364.5,342
11,369,374.5
11,427,353
11,423.5,322.5
11,494,234
11,507.5,268
11,562,252
11,549,216.5
12,172.5,413
12,187.5,445
12,239.5,417.5
12,226,383.5
12,364.5,340.5
12,370,372.5
12,427.5,352.5
12,424,321
12,496,232
12,508,267.5
12,562,251
12,549,215
13,176.5,364.5
13,190.5,398.5
13,242,372.5
13,229,338.5
13,365,295.5
13,369.5,327
13,427,309.5
13,423.5,278.5
13,496,195.5
13,507.5,231
13,562,213.5
13,549,178.5
14,176,365
14,190,398
14,241.5,372.5
14,229,337.5
14,364.5,295
14,370,327.5
14,426.5,309.5
14,424.5,278
14,496.5,195.5
14,507,230.5
14,561.5,213
14,549,178.5
15,176.667,364
15,190.667,398.333
15,241.667,371.667
15,228.333,336.667
15,365,294.333
15,370.333,326.333
15,427,307.667
15,424,277.333
15,496.333,194.333
15,508.333,229
15,562.333,213.667
15,549.667,177
16,178.667,391.667
16,196,424
16,245.667,391.667
16,228.333,358
16,327,307.667
16,333.667,348
16,396,336.333
16,389,296
16,485,209.333
16,485,247
16,542.667,248.333
16,543,210.333
17,178.667,391.667
17,195.667,424
17,245.333,391.333
17,228.667,357
17,325.667,307.667
17,333.667,349.333
17,396,336.667
17,388.667,296
17,484.667,208.333
17,484.333,246.333
17,542.667,248
17,544,210.667
18,179,390.333
18,196,423
18,244.667,391
18,228.333,357.333
18,327,308.667
18,334.667,348
18,396.333,334.667
18,389,297.667
18,483.333,209
18,483,246
18,542.667,247.667
18,543,209.667
19,239.667,321
19,251.333,355.333
19,303.667,332.667
19,290.667,297.667
19,384.333,268.333
19,387.667,298.333
19,449,286
19,445,254.333
19,530.667,195.333
19,526.333,232.333
19,584.667,239.667
19,590.333,201.333
20,240,319.333
20,253,355.333
20,304.667,331.667
20,292.333,296.333
20,385.333,267.667
20,389,297
20,448.667,284.667
20,446,253
20,532.333,193.333
20,527,230
20,584,238
20,589.667,201
21,240,321
21,251.667,355.667
21,304.667,331.667
21,292.333,296
21,385,268.667
21,387.333,298.667
21,448,286
21,445.333,254.333
21,531,194.667
21,527,231.667
21,584,239
21,590.333,202
22,67,381.667
22,82.333,417
22,136.667,388.667
22,121,354.667
22,241.333,305.667
22,254.333,343.333
22,314,324
22,299,285.667
22,393,233
22,389.667,270.333
22,445,275.667
22,450.333,238.333
23,65.667,380.667
23,84,414.667
23,136.333,387
23,121,354.333
23,242.667,305
23,254,342
23,314,323.667
23,300.333,284.667
23,393.333,233.667
23,389.667,270.667
23,446.667,276.333
23,450.667,238.333
24,66,382.333
24,83.333,416
24,136.333,389
24,119.333,353.667
24,240.333,306.333
24,254,342.333
24,314,323.667
24,299.667,286.667
24,393.667,233.667
