June 22, 2016   14:10:00
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\500 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:
Ep = 0.268V
ip = 6.363e-8A
Ah = 1.339e-7C

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.972e-5A
Ah = 1.375e-4C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 2.328e-5A
Ah = 1.688e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = -0.405V
ip = -4.335e-8A
Ah = -1.163e-7C

Segment 3:
Segment 4:

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A
0.143	2.474e-5	-7.585e-6
0.144	2.469e-5	-7.599e-6
0.145	2.471e-5	-7.596e-6
0.146	2.472e-5	-7.598e-6
0.147	2.472e-5	-7.597e-6
0.148	2.475e-5	-7.597e-6
0.149	2.473e-5	-7.594e-6
0.150	2.474e-5	-7.600e-6
0.151	2.477e-5	-7.592e-6
0.152	2.472e-5	-7.594e-6
0.153	2.476e-5	-7.596e-6
0.154	2.478e-5	-7.602e-6
0.155	2.478e-5	-7.602e-6
0.156	2.479e-5	-7.597e-6
0.157	2.474e-5	-7.595e-6
0.158	2.474e-5	-7.601e-6
0.159	2.476e-5	-7.593e-6
0.160	2.472e-5	-7.599e-6
0.161	2.475e-5	-7.600e-6
0.162	2.476e-5	-7.599e-6
0.163	2.474e-5	-7.598e-6
0.164	2.478e-5	-7.602e-6
0.165	2.476e-5	-7.599e-6
0.166	2.477e-5	-7.607e-6
0.167	2.481e-5	-7.602e-6
0.168	2.479e-5	-7.607e-6
0.169	2.482e-5	-7.602e-6
0.170	2.482e-5	-7.599e-6
0.171	2.481e-5	-7.597e-6
0.172	2.483e-5	-7.602e-6
0.173	2.480e-5	-7.599e-6
0.174	2.481e-5	-7.612e-6
0.175	2.483e-5	-7.606e-6
0.176	2.477e-5	-7.607e-6
0.177	2.480e-5	-7.597e-6
0.178	2.482e-5	-7.592e-6
0.179	2.480e-5	-7.602e-6
0.180	2.482e-5	-7.606e-6
0.181	2.480e-5	-7.606e-6
0.182	2.479e-5	-7.608e-6
0.183	2.482e-5	-7.606e-6
0.184	2.480e-5	-7.602e-6
0.185	2.482e-5	-7.603e-6
0.186	2.482e-5	-7.610e-6
0.187	2.482e-5	-7.604e-6
0.188	2.485e-5	-7.610e-6
0.189	2.481e-5	-7.607e-6
0.190	2.483e-5	-7.607e-6
0.191	2.486e-5	-7.601e-6
0.192	2.483e-5	-7.610e-6
0.193	2.486e-5	-7.612e-6
0.194	2.487e-5	-7.605e-6
0.195	2.485e-5	-7.601e-6
0.196	2.488e-5	-7.607e-6
0.197	2.485e-5	-7.608e-6
0.198	2.487e-5	-7.610e-6
0.199	2.490e-5	-7.607e-6
0.200	2.486e-5	-7.605e-6
0.201	2.487e-5	-7.603e-6
0.202	2.488e-5	-7.609e-6
0.203	2.486e-5	-7.605e-6
0.204	2.492e-5	-7.611e-6
0.205	2.500e-5	-7.605e-6
0.206	2.499e-5	-7.602e-6
0.207	2.500e-5	-7.608e-6
0.208	2.495e-5	-7.608e-6
0.209	2.497e-5	-7.610e-6
0.210	2.497e-5	-7.602e-6
0.211	2.495e-5	-7.600e-6
0.212	2.498e-5	-7.604e-6
0.213	2.493e-5	-7.602e-6
0.214	2.493e-5	-7.608e-6
0.215	2.495e-5	-7.604e-6
0.216	2.491e-5	-7.606e-6
0.217	2.493e-5	-7.602e-6
0.218	2.494e-5	-7.604e-6
0.219	2.495e-5	-7.603e-6
0.220	2.498e-5	-7.610e-6
0.221	2.493e-5	-7.605e-6
0.222	2.495e-5	-7.605e-6
0.223	2.497e-5	-7.608e-6
0.224	2.491e-5	-7.608e-6
0.225	2.495e-5	-7.601e-6
0.226	2.495e-5	-7.609e-6
0.227	2.494e-5	-7.606e-6
0.228	2.496e-5	-7.609e-6
0.229	2.492e-5	-7.602e-6
0.230	2.492e-5	-7.605e-6
0.231	2.493e-5	-7.612e-6
0.232	2.490e-5	-7.604e-6
0.233	2.493e-5	-7.610e-6
0.234	2.493e-5	-7.604e-6
0.235	2.493e-5	-7.607e-6
0.236	2.496e-5	-7.607e-6
0.237	2.491e-5	-7.610e-6
0.238	2.494e-5	-7.610e-6
