File number,L,a,b
0.0,10.0951807162,0.499707995146,-10.1960432586
1.0,10.1462084329,1.21700820519,-10.5374359596
2.0,8.49120343581,0.764775672463,-8.79840454375
3.0,6.32558647873,1.15107088902,-7.25218774556
4.0,4.97005626072,1.21999903211,-5.50222368604
5.0,3.80864373888,1.11995356922,-4.23802258105
6.0,3.75987801255,1.41940113324,-4.39558252925
7.0,3.45511275282,1.36686716033,-4.24043789849
8.0,3.19739336548,1.26322432708,-3.72296117969
9.0,2.99369300346,1.37610907823,-3.74678503853
10.0,2.91528043565,1.2803277906,-3.47083078986
11.0,2.79124231401,1.26175225608,-3.52152785126
12.0,2.70351375331,1.20271371356,-3.187860133
13.0,2.65894354787,1.27186561933,-3.23078290511
14.0,2.56993529916,1.21229685404,-3.08137667575
15.0,2.50595415307,1.15672197931,-3.05574954452
16.0,2.51515090978,1.08085420681,-2.79691694724
17.0,2.4582354211,1.18716249914,-2.96739988131
18.0,2.4619536555,1.14317760793,-2.75454720199
19.0,2.39196852912,1.11765629346,-2.78908801215
20.0,2.36212203906,1.06641061121,-2.76140099514
21.0,2.34698218952,1.03802197852,-2.70852777023
22.0,2.32011119859,1.02878668211,-2.53996116177
23.0,2.34520645914,1.08188645946,-2.48696784152
24.0,2.29078582538,1.0778482621,-2.56001700698
25.0,2.30346319729,0.967296580694,-2.41799462732
26.0,2.26829976434,1.05839249374,-2.53492841937
27.0,2.29729881814,1.0543775959,-2.48723374683
28.0,2.22743840177,0.974895993091,-2.56687700342
29.0,2.23455067709,0.891609256785,-2.327963539
30.0,2.21079427535,1.02436628361,-2.43865248663
31.0,2.22215335411,1.04426194441,-2.51268693932
32.0,2.22854588366,1.08517241682,-2.55137833956
33.0,2.20528909639,1.0220895051,-2.38838440258
34.0,2.20373042086,1.00715592906,-2.40937564405
35.0,2.18044017687,1.17230195541,-2.6305282368
36.0,2.21498055248,0.889676917034,-2.24513104552
37.0,2.21728768802,1.00237546239,-2.34456880259
38.0,2.22074334038,0.969610674888,-2.27856208756
39.0,2.13994603552,1.04010802183,-2.51579786934
40.0,2.1627891651,1.08744384613,-2.51573630283
41.0,2.1541228053,0.989692426291,-2.3162447786
42.0,2.20085419215,0.974737321784,-2.25495188531
43.0,2.22717208987,0.915480391479,-2.14743641301
44.0,2.13219443427,0.983344412781,-2.47980302475
45.0,2.18698964589,0.957189044805,-2.18326648828
46.0,2.16830078951,0.924951732171,-2.22181912804
47.0,2.17818555604,1.04250893701,-2.46252791223
48.0,2.12441716484,1.09676311357,-2.49187451966
49.0,2.14930303736,0.944933041363,-2.36457451326
50.0,2.14443620465,0.995427711604,-2.22274876559
51.0,2.15158438677,1.08345329507,-2.36706799285
52.0,2.16789106589,0.954538176195,-2.22373334371
53.0,2.12875647137,0.977438610509,-2.30119117071
54.0,2.15536195102,0.980258566245,-2.16028512623
55.0,2.14405336654,1.01812237817,-2.33058388103
56.0,2.14468588515,0.915053965272,-2.09442013202
57.0,2.12255583379,1.01404299985,-2.27419601301
58.0,2.12927061141,1.01338439384,-2.26745675824
