File number,L,a,b
0.0,11.3441647875,2.29550234927,-13.5381819595
1.0,10.3728596287,2.0987826563,-13.3018339329
2.0,11.701055387,2.24019217474,-14.8510964456
3.0,11.5236097123,2.01344172829,-14.3224898425
4.0,11.4973495237,2.09283441018,-14.3313630231
5.0,11.7366155881,2.32763114646,-14.7266301833
6.0,11.7147818067,2.54493748606,-14.9823875537
7.0,11.5988984446,2.18818016237,-14.6433799587
8.0,11.6172215917,2.62221249565,-15.1211480652
9.0,11.6228525586,2.56418965615,-14.8496765595
10.0,11.6297285954,2.08806663523,-14.4946456146
11.0,11.5815832042,2.82868028488,-15.166925299
12.0,11.5195183834,2.30377027948,-14.6016964702
13.0,11.6223948166,2.31700825879,-14.8305160007
14.0,11.7185502401,2.01845998881,-14.2415965151
15.0,11.7260555729,2.27211480035,-14.8749136455
16.0,11.7412014344,2.66323832,-15.0247761086
17.0,11.7793962181,2.66302711793,-15.3312225924
18.0,11.7945171605,2.3856426358,-14.8562210716
19.0,11.9816818474,2.57157116848,-15.227573081
20.0,11.7615684231,2.47361456671,-15.091954446
21.0,11.6995764389,2.99422684093,-15.4093957773
22.0,11.6459937356,2.32394645543,-14.9478631247
23.0,11.8793239397,2.94062603797,-15.5499328014
24.0,11.7146528159,2.31461665823,-14.9160623301
25.0,11.6476581847,2.54329593488,-15.0146182342
26.0,11.5855363545,2.69310773974,-15.0493957954
27.0,11.6321320533,2.52954294238,-15.1101459124
28.0,11.6616420389,2.39666693978,-14.9191821365
29.0,11.6628270009,2.39938381808,-14.7935351637
30.0,11.7246597033,2.23682283578,-15.0160598115
31.0,11.7819728811,2.80028523683,-15.4821469929
32.0,11.7906502077,3.03999348365,-15.3082817277
33.0,11.840854741,2.59391555038,-15.1744789965
34.0,11.9191651035,2.17711816694,-14.7665637785
35.0,11.8681696633,3.04491834206,-15.5627162166
36.0,11.8919648944,2.41746856053,-14.8664796575
37.0,11.8395780572,2.61088842357,-14.9572928315
38.0,11.727172265,2.79567164564,-15.3951129962
39.0,11.8320507953,3.06930576437,-15.618898105
40.0,11.755658544,2.41235769089,-14.9098230166
41.0,11.809669536,2.5549869416,-14.9017516083
42.0,11.8753261905,2.34990071636,-14.7684495884
43.0,11.8580238913,2.89432746553,-15.4696356371
44.0,11.839026071,2.70226175419,-15.1717225308
45.0,11.8850731828,2.57193509669,-14.9662997727
46.0,11.8127863734,2.7804099259,-15.3112786199
47.0,11.9423281101,1.92367081447,-14.8328423792
48.0,11.7875323668,2.876221807,-15.5352322063
49.0,10.6343023507,1.76508528958,-13.5106568779
50.0,12.6472695711,2.58861468236,-15.8383474018
51.0,12.3016414429,2.4388236856,-15.0369908598
52.0,12.8857250704,2.76732623811,-16.1569628564
53.0,12.5192996371,2.58373518583,-15.9076272005
54.0,12.2454784614,1.74672961727,-14.4697495179
55.0,12.779348592,3.01339569735,-16.329365286
56.0,12.1741719031,2.32188119529,-15.2974333697
57.0,12.0174907317,2.16876054256,-14.7780194932
58.0,11.9174411441,2.43926899552,-14.7858675195
59.0,14.2978105912,3.15991397523,-17.6504956199
60.0,11.8284460083,2.2647198685,-15.2467773667
61.0,12.272371679,2.52343039775,-15.5163534326
62.0,12.0214588597,2.72304352801,-15.5712488539
63.0,12.0669225022,2.75271586658,-15.7060325191
64.0,11.9475992456,2.5223668433,-15.3377720839
65.0,9.52000681882,2.54365896332,-13.3650811505
66.0,7.80049674851,2.6582832714,-12.3220287029
67.0,7.11995030237,2.92870705656,-12.0807680107
68.0,6.74427610484,2.38711821495,-11.2590346412
69.0,6.1946920349,2.44114535083,-10.4951582106
70.0,6.03757724227,2.71265180254,-10.8060222653
71.0,5.82463483282,2.52550237547,-10.1669458698
72.0,5.01651974403,2.209834195,-8.71631653833
73.0,5.97634058492,3.20635610021,-11.2485457475
74.0,5.16460216062,2.40419231987,-9.06406340538
75.0,5.02089885295,2.32116538649,-8.94840096819
76.0,4.91816851866,2.15250178431,-8.63540866614
77.0,4.6651658532,2.33487812251,-8.43352312765
78.0,4.54973540022,2.08896897594,-7.99076960383
79.0,4.45755785063,1.91021066674,-7.28833588456
80.0,4.47643261796,2.09094701066,-7.93688067045
81.0,4.3323191223,1.8561024678,-7.44077729994
82.0,4.25048332661,1.86272523723,-7.19174077033
83.0,4.19974997392,2.02439481128,-7.48436474721
84.0,4.244311402,2.09428733537,-7.44185670223
85.0,4.10693078593,2.14725495144,-7.45350844673
86.0,4.07368755319,1.93108038384,-7.12747799994
87.0,4.03278023618,1.91589930316,-7.03175373487
88.0,4.10430035712,2.01498598606,-7.44304964981
89.0,4.01948972584,2.07716443375,-7.09066233796
90.0,3.85564535717,1.98135822378,-6.90887713449
91.0,3.79411315556,1.9462605927,-6.56012395191
92.0,3.83568064857,1.99685000339,-6.51377139099
93.0,3.81798174053,1.87137890561,-6.38416022892
94.0,3.72855504057,1.94668854897,-6.63042253669
95.0,3.65344746941,1.77104142425,-6.13409158911
96.0,3.7535761162,1.9514438041,-6.62001710629
97.0,3.69249158613,1.80893615538,-6.17200098746
98.0,3.6541905424,1.7821209679,-6.26597165121
99.0,3.64712242093,1.81558427013,-6.50215824281
100.0,3.65985165153,1.86266355404,-6.29170619843
101.0,3.60181564405,1.84835225977,-6.36955284329
102.0,3.57507378535,1.87549515582,-6.15617103394
103.0,3.54737637287,1.85616180282,-6.36303159883
104.0,3.56599926331,1.83323352152,-6.28193530415
105.0,3.52916211621,1.86834942754,-6.2386075128
106.0,3.52656445858,1.84733266622,-6.15767444441
107.0,3.49462727821,1.79018571837,-5.88333567357
108.0,3.48172916211,1.75118689095,-6.0391975845
109.0,3.44057285104,1.69713849293,-5.72367864955
110.0,3.42851536792,1.8311475549,-5.96196422283
111.0,3.38373542011,1.73649758578,-5.67429509254
112.0,3.3383206352,1.63549869251,-5.53961326276
113.0,3.37958539347,1.761812547,-5.92827124891
114.0,3.35563607455,1.90486305153,-5.97638272658
115.0,3.34272200653,1.80550333476,-5.87018601121
116.0,3.37249056654,1.68872582105,-5.84535271411
117.0,3.32494389756,1.71540663752,-5.90035957559
118.0,3.2995270862,1.76763030855,-5.58469711675
119.0,3.29001088546,1.7739095964,-5.60018492802
120.0,3.29856081844,1.81981687438,-5.7177326561
121.0,3.25114301996,1.77144595322,-5.64151667654
122.0,3.24627747245,1.72461530363,-5.50454655605
123.0,3.25423488589,1.6001735129,-5.49954197651
124.0,3.23800428092,1.74848703858,-5.46442923334
125.0,3.32614465566,1.74531207308,-5.5654160439
126.0,3.63504129107,1.8197348703,-6.07286463848
127.0,3.95064336037,1.77012043425,-6.21900944461
128.0,4.24032786963,1.89570253983,-6.52353217278
129.0,4.54728897386,1.94820516168,-7.11933365989
130.0,4.98596020086,2.02366100371,-7.68988034005
131.0,5.30572816365,1.87718136413,-7.90583750198
132.0,5.551670712,1.96636251509,-8.31155413371
133.0,5.84283079007,2.11628006136,-9.01171486911
134.0,6.26607979034,1.92216999403,-9.01015048354
135.0,6.5332872595,2.12617463812,-9.62671048171
136.0,6.97376313946,1.97994704633,-10.0412294118
137.0,7.30471891787,2.09401424065,-10.4157999134
138.0,7.62540732836,1.68073195474,-10.4669365265
139.0,7.97425553924,1.78284913444,-10.8134906312
140.0,8.36534884557,1.77012602881,-11.086716687
141.0,8.67419315448,2.02524068195,-11.4801098325
142.0,9.02027849023,1.67611760164,-11.5620515726
143.0,9.26268799801,1.71017051316,-11.5854626663
144.0,9.59591863035,1.66836463582,-11.8747716773
145.0,9.81440613243,1.34181812746,-11.9392662028
146.0,10.082792604,1.61711070132,-12.5187245187
147.0,10.2200357774,1.76445389089,-12.696158747
148.0,10.4421070199,1.76650496902,-12.8394774588
149.0,10.6177837696,1.4267859283,-12.9054458401
150.0,10.741191845,1.97115857045,-13.4881155713
151.0,10.8426292345,1.99749439467,-13.5390379696
152.0,10.9732984312,1.9645635707,-13.6653259529
153.0,11.044849518,1.92752242386,-13.7092132227
154.0,11.1590209368,1.94014930949,-13.8570440976
155.0,11.3465939212,2.19353485263,-14.0639735877
156.0,11.3920253878,2.35434114104,-14.4440937522
157.0,11.4472812772,1.51171520661,-13.5961767856
158.0,11.4721379045,1.91096707702,-14.1872025621
159.0,11.5159644549,1.93771208716,-14.3995198885
160.0,11.5275784307,2.06092034449,-14.5324509941
161.0,11.5693995344,2.35752259609,-14.5692520168
162.0,11.6839321764,1.80986680184,-14.3685971245
163.0,11.602716769,2.23814156154,-14.4307540556
164.0,11.7027643159,2.30202140453,-14.7042970045
165.0,11.6897431156,2.13132361714,-14.4631898897
166.0,11.721714994,1.9347637571,-14.2720212249
167.0,11.7335369184,2.29907280553,-14.6510817231
168.0,11.7152910256,2.61657466321,-14.9214574829
169.0,11.6837687581,2.24455515334,-14.7119908036
170.0,11.7719026514,2.11569621153,-14.6099274819
171.0,11.6755640966,2.50757526655,-15.1015549793
172.0,11.6914763827,2.42308421877,-14.8430796591
173.0,11.7477138777,2.17278242571,-14.7275356523
174.0,11.7316580911,2.55873122969,-15.2954009442
175.0,11.7700529528,2.90155681564,-15.3001655356
176.0,11.78563963,2.22988382734,-14.8279628298
177.0,11.7527524981,2.29821464369,-14.9219070802
178.0,11.8652003246,1.99924322036,-14.6910042397
179.0,11.8788593295,2.40163668852,-14.9216805555
180.0,11.8071778468,2.54551857796,-14.9898492124
181.0,11.7134248315,2.88981665609,-15.3735857213
182.0,11.7702783938,2.57773380693,-15.0411746974
183.0,11.7750458718,2.36161429878,-14.8775370633
184.0,11.8279172082,2.08613156552,-14.5247347798
185.0,9.21451159541,2.15152162176,-12.5034746468
186.0,7.6151809263,2.50987181086,-11.8495404382
187.0,6.87320335825,2.63524580909,-11.3334003927
188.0,6.38670555622,2.42517294741,-10.6847418196
189.0,6.04933722528,2.28302291527,-10.0913806088
190.0,5.72118556388,2.31221223492,-9.60024919724
191.0,5.49431403662,2.31967207813,-9.68652403801
192.0,5.27916902489,2.20882276906,-8.96436888194
193.0,5.11026626133,2.12689553194,-8.93107023875
194.0,4.92473865242,2.3294649326,-8.69053169145
195.0,4.83410957972,2.13787953079,-8.3603600074
196.0,4.73079375802,1.93763663651,-7.96772819385
197.0,4.63246347166,2.06873863638,-8.09107372497
198.0,4.51435429763,2.0838873474,-7.66326862914
199.0,4.41864361328,2.17669047339,-7.78930810868
200.0,4.33809970947,1.85216943299,-7.30625124955
201.0,4.29046368198,1.92935578986,-7.30359609923
202.0,4.18535248192,2.03007357385,-7.27591716223
203.0,4.1196809641,2.07067703248,-7.22515240449
204.0,4.10097042862,1.98139791323,-7.14391980947
205.0,4.0192289071,1.97619564298,-7.00642762621
206.0,3.98156425063,1.90043315021,-7.04575937986
207.0,3.92239903051,2.12503569458,-7.14286861426
208.0,3.93237577074,1.94640865415,-6.73656092426
209.0,3.8240691592,2.01452927335,-6.73758085298
210.0,3.78860579478,1.93441261803,-6.83724019117
211.0,3.77693573434,1.93949257137,-6.51700595296
212.0,3.73408462145,1.7799633975,-6.28242325546
213.0,3.69688056691,1.75881501077,-6.25535765769
214.0,3.68335828267,1.89375860232,-6.30486457565
215.0,3.62551253737,1.8387704004,-6.3086418185
216.0,3.62559453381,1.79919268043,-6.29460093822
217.0,3.57867089747,1.80243790031,-6.0509378091
218.0,3.55286022641,1.81603910339,-6.23655751817
219.0,3.57551366245,1.72057035628,-5.96168899011
220.0,3.5354653841,1.86569958997,-5.98894413594
221.0,3.48803820256,1.81534004433,-5.9869199925
222.0,3.47258016744,1.7837522855,-5.95747246683
223.0,3.43830955604,1.80864809487,-5.70299565345
224.0,3.41800367052,1.76561401792,-5.82547652634
225.0,3.41469210079,1.74382237919,-6.0040472826
226.0,3.37951086014,1.7378584329,-5.89764597198
227.0,3.37089130284,1.8561004637,-5.97639664139
228.0,3.36237113533,1.72050551397,-5.77920050656
229.0,3.35270050473,1.70313722843,-5.71965567269
230.0,3.34095549428,1.79026982521,-5.67818394341
231.0,3.29608407383,1.75997967155,-5.78315738034
232.0,3.2480980954,1.85903947499,-5.73542708625
233.0,3.27728881889,1.6924035457,-5.62331017323
234.0,3.27043719929,1.82399671337,-5.77485934879
235.0,3.23166986699,1.88620822687,-5.77453425908
236.0,3.22858974988,1.8128713644,-5.65967328156
237.0,3.23749071549,1.72362471624,-5.5536124643
238.0,3.19869230604,1.76381639017,-5.58996750576
239.0,3.20216241731,1.70060546659,-5.55244154103
240.0,3.19634453898,1.73406242603,-5.44092765493
241.0,3.16999858519,1.66777727414,-5.29527151049
242.0,3.15517720541,1.82541118899,-5.47337702805
243.0,3.1536761362,1.77569560679,-5.50784215008
244.0,3.17677989512,1.71645801471,-5.3990742492
245.0,3.26914787555,1.78264589054,-5.56740488394
246.0,3.55585190261,1.76223234584,-5.77503690829
247.0,3.88541526288,1.87272245595,-6.17142618442
248.0,4.22383017586,1.84920529706,-6.7730590061
249.0,4.51318356879,1.84827795484,-7.07492713416
250.0,4.85285988769,1.89225283153,-7.44137058733
251.0,5.10027839892,1.93648935875,-7.95313213429
252.0,5.3828800357,2.17726372193,-8.53790539376
253.0,5.74973019129,2.05566982013,-8.87852574507
254.0,6.09415262754,2.02420219139,-9.09513042788
255.0,6.4283621214,2.4805995496,-9.87688897115
256.0,6.74424831371,1.99618593171,-9.78012278871
257.0,7.13568997195,1.70678695657,-9.74992644644
258.0,7.51453772635,1.77528602524,-10.1079742583
259.0,7.86266776052,1.9008294318,-10.8940780632
260.0,8.24704811148,1.67713799456,-10.9327310411
261.0,8.53374506516,1.93680671187,-11.3454684099
262.0,8.96253075082,1.54271657047,-11.3468765467
263.0,9.23994379566,1.64398893841,-11.5512557903
264.0,9.54200801529,1.85844516273,-12.1887849101
265.0,9.85744374299,1.49541477105,-12.1966801833
266.0,10.056903641,1.64128272626,-12.5331000173
267.0,10.2840094112,1.55283591518,-12.6244091262
268.0,10.3906274047,1.73010220665,-12.8629587218
269.0,10.618565667,1.66925401416,-12.9385671193
270.0,10.8095789382,1.94213528817,-13.37816495
271.0,10.9562411232,1.64422266597,-13.217108769
272.0,11.025204976,1.94598789374,-13.7568476207
273.0,11.0992946347,1.8045313105,-13.8311648233
274.0,11.1723877427,1.83594614387,-13.8003853186
275.0,11.233172518,1.99462949673,-13.8952313564
276.0,11.3121769031,2.28562788928,-14.2203425774
277.0,11.4089184615,1.87634444946,-13.7187624005
278.0,11.4553209306,1.87251943125,-14.2052440304
279.0,11.46159932,2.08372375012,-14.3467477137
280.0,11.5029660863,2.33518175192,-14.4737833862
281.0,11.5133728412,1.9628876356,-14.0934440493
282.0,11.5946349739,2.16276813474,-14.574392306
283.0,11.5715226652,2.19010024802,-14.5119114972
